category_id,id,group_name,category_name,category_description,count
cs.SC,1256,Computer Science,Symbolic Computation,Roughly includes material in ACM Subject Class I.1.,1256
solv-int,1205,,,,1205
q-fin.PR,1194,Quantitative Finance,Pricing of Securities,"Valuation and hedging of financial securities, their derivatives, and structured products",1194
q-bio.TO,1167,Quantitative Biology,Tissues and Organs,"Blood flow in vessels, biomechanics of bones, electrical waves, endocrine system, tumor growth",1167
cs.GR,1162,Computer Science,Graphics,"Covers all aspects of computer graphics. Roughly includes material in all of ACM Subject Class I.3, except that I.3.5 is is likely to have Computational Geometry as the primary subject area.",1162
q-fin.EC,1122,Quantitative Finance,Economics,"q-fin.EC is an alias for econ.GN. Economics, including micro and macro economics, international economics, theory of the firm, labor economics, and other economic topics outside finance",1122
q-fin.MF,1120,Quantitative Finance,Mathematical Finance,"Mathematical and analytical methods of finance, including stochastic, probabilistic and functional analysis, algebraic, geometric and other methods",1120
cs.AR,1101,Computer Science,Hardware Architecture,"Covers systems organization and hardware architecture. Roughly includes material in ACM Subject Classes C.0, C.1, and C.5.",1101
q-bio.SC,1085,Quantitative Biology,Subcellular Processes,"Assembly and control of subcellular structures (channels, organelles, cytoskeletons, capsules, etc.); molecular motors, transport, subcellular localization; mitosis and meiosis",1085
econ.EM,1083,Economics,Econometrics,"Econometric Theory, Micro-Econometrics, Macro-Econometrics, Empirical Content of Economic Relations discovered via New Methods, Methodological Aspects of the Application of Statistical Inference to Economic Data.",1083
q-bio,1070,,,,1070
physics.atm-clus,1067,Physics,Atomic and Molecular Clusters,"Atomic and molecular clusters, nanoparticles: geometric, electronic, optical, chemical, magnetic properties, shell structure, phase transitions, optical spectroscopy, mass spectrometry, photoelectron spectroscopy, ionization potential, electron affinity, interaction with intense light pulses, electron diffraction, light scattering, ab initio calculations, DFT theory, fragmentation, Coulomb explosion, hydrodynamic expansion.",1067
physics.pop-ph,1032,Physics,Popular Physics,Description coming soon,1032
q-fin.CP,1010,Quantitative Finance,Computational Finance,"Computational methods, including Monte Carlo, PDE, lattice and other numerical methods with applications to financial modeling",1010
q-fin.RM,995,Quantitative Finance,Risk Management,"Measurement and management of financial risks in trading, banking, insurance, corporate and other applications",995
q-fin.TR,924,Quantitative Finance,Trading and Market Microstructure,"Market microstructure, liquidity, exchange and auction design, automated trading, agent-based modeling and market-making",924
cs.MS,904,Computer Science,Mathematical Software,Roughly includes material in ACM Subject Class G.4.,904
cmp-lg,894,,,,894
q-fin.PM,888,Quantitative Finance,Portfolio Management,"Security selection and optimization, capital allocation, investment strategies and performance measurement",888
cs.PF,852,Computer Science,Performance,"Covers performance measurement and evaluation, queueing, and simulation. Roughly includes material in ACM Subject Classes D.4.8 and K.6.2.",852
q-bio.OT,752,Quantitative Biology,Other Quantitative Biology,Work in quantitative biology that does not fit into the other q-bio classifications,752
nlin.CG,734,Physics,Cellular Automata and Lattice Gases,"computational methods, time series analysis, signal processing, wavelets, lattice gases",734
dg-ga,646,,,,646
econ.GN,619,Economics,General Economics,"General methodological, applied, and empirical contributions to economics.",619
stat.OT,590,Statistics,Other Statistics,Work in statistics that does not fit into the other stat classifications,590
patt-sol,520,,,,520
adap-org,453,,,,453
econ.TH,406,Economics,Theoretical Economics,"Includes theoretical contributions to Contract Theory, Decision Theory, Game Theory, General Equilibrium, Growth, Learning and Evolution, Macroeconomics, Market and Mechanism Design, and Social Choice.",406
funct-an,372,,,,372
cs.OS,326,Computer Science,Operating Systems,"Roughly includes material in ACM Subject Classes D.4.1, D.4.2., D.4.3, D.4.4, D.4.5, D.4.7, and D.4.9.",326
comp-gas,173,,,,173
mtrl-th,165,,,,165
chem-ph,145,,,,145
cs.GL,99,Computer Science,General Literature,"Covers introductory material, survey material, predictions of future trends, biographies, and miscellaneous computer-science related material. Roughly includes all of ACM Subject Class A, except it does not include conference proceedings (which will be listed in the appropriate subject area).",99
atom-ph,98,,,,98
supr-con,73,,,,73
acc-phys,49,,,,49
plasm-ph,29,,,,29
ao-sci,13,,,,13
bayes-an,11,,,,11
